Version,Type,Class file formatversion[7],Release date,End of public updates (free),End of extended support (paid)
Java SE 6 Update 5[citation needed],2008-03-05,"Several security flaws were eliminated. New root certificates from AOL, DigiCert, and TrustCenter are now included.",,,
Java SE 6 Update 6[citation needed],2008-04-16,A workaround for the infamous Xlib/XCB locking assertion issue was introduced. A memory leak when using Kerberos authentication with LoginContext was fixed. Several other bugs were fixed.,,,
Java SE 6 Update 7[citation needed],,"Unofficially, Java SE 6 Update 7 (1.6.0.7) is the last version of Java that was shown to be working on the Win9x family of operating systems[citation needed]",,,
Java SE 6 Update 10[citation needed],2008-10-15,"HotSpot VM 11. Major changes for this update include:Java Deployment Toolkit, a set ofJavaScriptfunctions to ease the deployment ofappletsandJava Web Startapplications.[52]Java Kernel, a small installer including only the most commonly used JRE classes. Other packages are downloaded when needed.Enhanced updater.Enhanced versioning and pack200 support: server-side support is no longer required.[52]Java Quick Starter, to improve cold start-up time.Improved performance ofJava2Dgraphics primitives on Windows, usingDirect3Dand hardware acceleration.A newSwinglook and feelcalled Nimbus and based onsynth.[53]Next-Generation Java Plug-In: applets now run in a separate process and support many features of Web Start applications.[52]",,,
Java SE 6 Update 11[54][citation needed],2008-12-03,13 security fixes[citation needed],,,
Java SE 6 Update 12[citation needed],2008-12-12,No security fixes; 64-bit Java plug-in (for 64-bit web browsers only);Windows Server 2008support; performance improvements of graphics andJavaFXapplications,,,
Java SE 6 Update 13[citation needed],2009-03-24,"7 security fixes, JNDI store and retrieve Java objects in LDAP slightly modified, JMX Change (createMBeanunregisterMBean), 4 new root certificates added",,,
Java SE 6 Update 14[citation needed],2009-05-28,"HotSpot VM 14. This release includes extensive performance updates to the JIT compiler, compressed pointers for 64-bit machines, as well as support for theG1(Garbage First) low-pause garbage collector.[55][56]The-XX:+DoEscapeAnalysisoption directs the HotSpotJIT compilerto useescape analysisto determine whether local objects can be allocated on thestackinstead of theheap.[citation needed]Some developers have noticed an issue introduced in this release which causes debuggers to miss breakpoints seemingly randomly.[57]Sun has a corresponding bug, which is tracking the issue. The workaround applies to the Client and Server VMs.[58]Using the-XX:+UseParallelGCoption will prevent the failure. Another workaround is to roll back to update 13, or to upgrade to update 16.",,,
Java SE 6 Update 15[citation needed],2009-08-04,Introduced patch-in-place functionality,,,
Java SE 6 Update 16[citation needed],2009-08-11,Fixed the issue introduced in update 14 which caused debuggers to miss breakpoints,,,
Java SE 6 Update 17[citation needed],2009-11-04,Security fixes; two new root certificates,,,
Java SE 6 Update 18[citation needed],2010-01-13,"No security fixes; Hotspot VM 16; support forUbuntu8.04 LTS Desktop Edition, SLES 11,Windows 7,Red Hat Enterprise Linux5.3,Firefox3.6, VisualVM 1.2; updated Java DB; many performance improvements",,,
Java SE 6 Update 19[citation needed],2010-03-30,"Security fixes; root certificate changes: seven new, three removed, five replaced with stronger signature algorithms; interim fix for TLS renegotiation attack",,,
Java SE 6 Update 20[citation needed],2010-04-15,2 security fixes,,,
Java SE 6 Update 21[citation needed],2010-07-07,"No security fixes; Hotspot VM 17; support forRed Hat Enterprise Linux5.4 and 5.5,Oracle Enterprise Linux4.8, 5.4, 5.5;Google Chrome4 support; support for Customized Loading Progress Indicators; VisualVM 1.2.2",,,
Java SE 6 Update 22[citation needed],2010-10-12,29 security fixes;RFC5746support,,,
Java SE 6 Update 23[citation needed],2010-12-08,No security fixes; Hotspot VM 19; better support for right-to-left languages,,,
Java SE 6 Update 24[citation needed],2011-02-15,21 security fixes; updated Java DB,,,
Java SE 6 Update 25[citation needed],2011-03-21,"No security fixes; Hotspot VM 20; support forInternet Explorer 9,Firefox 4and Chrome 10; improved BigDecimal; includes ""tiered"" compilation in the Server VM that enables it to start quickly as does the Client VM, while achieving better peak performance (this feature is enabled by specifying-serverand-XX:+TieredCompilationcommand options)",,,
Java SE 6 Update 26[citation needed],2011-06-07,17 new security fixes;[59]last version compatible with Windows Vista SP1,,,
Java SE 6 Update 27[citation needed],2011-08-16,No security fixes; certification for Firefox 5,,,
Java SE 6 Update 29[citation needed],2011-10-18,"20 security fixes, various bug fixes[60]",,,
Java SE 6 Update 30[citation needed],2011-12-12,No security fixes; fix for SSL regression in Update 29; support forRed Hat Enterprise Linux6,,,
Java SE 6 Update 31[citation needed],2012-02-14,14 security fixes and one bug fix; last version work reliably forWindows 2000[61],,,
Java SE 6 Update 32[citation needed],2012-04-26,"No security fixes, various bug fixes",,,
Java SE 6 Update 33[citation needed],2012-06-12,"14 security fixes, improved VM configuration file loading",,,
Java SE 6 Update 34[citation needed],2012-08-14,"No security fixes, various bug fixes",,,
Java SE 6 Update 35[citation needed],2012-08-30,Contains a security-in-depth fix[62],,,
Java SE 6 Update 37[citation needed],2012-10-16,30 security fixes,,,
Java SE 6 Update 38[citation needed],2012-12-11,Various bug fixes[citation needed],,,
Java SE 6 Update 39[citation needed],2013-02-01,50 security fixes,,,
Java SE 6 Update 41[citation needed],2013-02-19,5 security fixes,,,
Java SE 6 Update 43[citation needed],2013-03-04,2 security fixes,,,
Java SE 6 Update 45[citation needed],2013-04-16,42 security fixes;[63]other changes; final public update.[64],,,
Java SE 6 Update 51,2013-06-18,"Not available publicly, only available through the Java SE Support program and in Apple Update for OS X Snow Leopard, Lion & Mountain Lion; up to 40 security fixes[65]",,,
Java SE 6 Update 65,2013-10-15,"Not available publicly, only available through the Java SE Support program and in Apple Update for OS X Snow Leopard, Lion & Mountain Lion; at least 11 critical security fixes[66]",,,
Java SE 6 Update 71,2014-01-14,Not available for public download; 33 fixes[citation needed],,,
Java SE 6 Update 75,2014-04-15,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster no. #54; 25 security fixes[67]",,,
Java SE 6 Update 81,2014-07-15,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 11 security fixes[68]",,,
Java SE 6 Update 85,2014-10-16,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 18 security fixes[69]",,,
Java SE 6 Update 91,2015-01-21,Linux x64 and Windows i586 versions are available as the Java SE 6 Reference Implementation.[70]Other versions are only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 15 security fixes[71],,,
Java SE 6 Update 95,2015-04-14,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 14 security fixes[72]",,,
Java SE 6 Update 101,2015-07-15,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 18 security fixes[73]Certification for IE 10 and 11 was introduced in 1.6.0_101",,,
Java SE 6 Update 105,2015-10-20,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 17 security fixes[74]",,,
Java SE 6 Update 111,2016-01-20,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 13 security fixes[75]",,,
Java SE 6 Update 113,2016-02-05,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 1 security fix[76]",,,
Java SE 6 Update 115,2016-04-21,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 8 security fixes[77]",,,
Java SE 6 Update 121,2016-07-19,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 15 security fixes[78]",,,
Java SE 6 Update 131,2016-10-18,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 13 security fixes[79]",,,
Java SE 6 Update 141,2017-01-17,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 17 security fixes[80]",,,
Java SE 6 Update 151,2017-04-18,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 10 security fixes[81]",,,
Java SE 6 Update 161,2017-07-18,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 5 security fixes[82]",,,
Java SE 6 Update 171,2017-10-20,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 7 security fixes[83]",,,
Java SE 6 Update 181,2018-01-16,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 12 security fixes[84]",,,
Java SE 6 Update 191,2018-04-17,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 7 security fixes[85]",,,
Java SE 6 Update 201,2018-07-17,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 3 security fixes[86]",,,
Java SE 6 Update 211,2018-10-18,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 8 security fixes[87]",,,
"July 28, 2011(13 years ago)(2011-07-28)",,,,,
April 2015(2015-04),,,,,
June 2022(2022-06),,,,,
Java SE 7[115],2011-07-28,Initial release;HotSpotVM 21,,,
Java SE 7 Update 1[citation needed],2011-10-18,"20 security fixes, other bug fixes",,,
Java SE 7 Update 2[citation needed],2011-12-12,"No security fixes; HotSpot VM 22; reliability and performance improvements; support forSolaris 11and Firefox 5 and later;JavaFXincluded with Java SE JDK, improvements for web-deployed applications",,,
Java SE 7 Update 3[citation needed],2012-02-14,14 security fixes[116],,,
Java SE 7 Update 4[citation needed],2012-04-26,No security updates; HotSpot VM 23; JDK Support for Mac OS X,,,
Java SE 7 Update 5[citation needed],2012-06-12,14 security fixes[117],,,
Java SE 7 Update 6[citation needed],2012-08-14,"JavaFXandJava Access Bridgeincluded in Java SE JDK and JRE installation, JavaFX support for touch-enabled monitors and touch pads, JavaFX support forLinux, JDK and JRE Support for Mac OS X, JDK for Linux on ARM[118]",,,
Java SE 7 Update 7[citation needed],2012-08-30,4 security fixes[62],,,
Java SE 7 Update 9[citation needed],2012-10-16,30 security vulnerabilities fixes[119],,,
Java SE 7 Update 10[citation needed],2012-12-11,"New security features, such as the ability to disable any Java application from running in the browser and new dialogs to warn you when the JRE is insecure, and bug fixes",,,
Java SE 7 Update 11[citation needed],2013-01-13,"Olson Data2012i; bugfix for problems with registration of plugin on systems with Stand-alone version of JavaFX Installed, security fixes forCVE-2013-0422;[120]the default security level for Java applets and web start applications has been increased from ""Medium"" to ""High""",,,
Java SE 7 Update 13[121][citation needed],2013-02-01,50 security fixes,,,
Java SE 7 Update 15[citation needed],2013-02-19,5 security fixes,,,
Java SE 7 Update 17[citation needed],2013-03-04,2 security fixes,,,
Java SE 7 Update 21[citation needed],2013-04-16,"Multiple changes including 42 security fixes, a new Server JRE that does not include the plug-in, and the JDK for Linux on ARM",,,
Java SE 7 Update 25[citation needed],2013-06-18,Multiple changes including 40 security fixes[65][122],,,
Java SE 7 Update 40[citation needed],2013-09-10,"621 bug fixes,[123]New security features,hardfloat ARM, Java Mission Control 5.2 andRetina Displaysupport[124]",,,
Java SE 7 Update 45[citation needed],2013-10-15,51 security fixes;[66]protections against unauthorized redistribution of Java applications; restore security prompts; JAXP changes; TimeZone.setDefault change,,,
Java SE 7 Update 51[citation needed],2014-01-14,"36 security fixes; block JAVA applets without manifest (like Remote console – Java Applet – IBM IMM card, HP iLO card) even if warning dialog is with sentence ""will be blocked in next version"",[125][126]17 bug fixes",,,
Java SE 7 Update 55[citation needed],2014-04-15,"37 security fixes,[67]19 bug fixes[127]",,,
Java SE 7 Update 60[citation needed],2014-05-28,"Java Mission Control 5.3,[128]130 bug fixes[129]",,,
Java SE 7 Update 65[citation needed],2014-07-15,18 bug fixes[citation needed],,,
Java SE 7 Update 67[citation needed],2014-08-04,1 bug fix,,,
Java SE 7 Update 71[citation needed],2014-10-14,16 bug fixes[citation needed],,,
Java SE 7 Update 72[citation needed],2014-10-14,"Same release date with Update 71 as a corresponding Patch Set Update (PSU) for Java SE 7,[130]36 bug fixes[citation needed]",,,
Java SE 7 Update 75[citation needed],2015-01-20,"12 bug fixes,[citation needed]SSLv3 disabled by default",,,
Java SE 7 Update 76[citation needed],2015-01-20,"Same release date with Update 75 as a corresponding Patch Set Update (PSU) for Java SE 7,[130]97 bug fixes[citation needed]",,,
Java SE 7 Update 79[citation needed],2015-04-14,"21 security fixes, 6 bug fixes,[citation needed]",,,
Java SE 7 Update 80[citation needed],2015-04-14,"Last public release of Java 7; same release date with Update 79 as a corresponding Patch Set Update (PSU) for Java SE 7, 104 bug fixes[citation needed]",,,
Java SE 7 Update 85,2015-07-15,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 25 security fixes[131]",,,
Java SE 7 Update 91,2015-10-20,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 20 security fixes[132]",,,
Java SE 7 Update 95,2016-01-19,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 8 security fixes[133]",,,
Java SE 7 Update 97,2016-02-05,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 1 security fix[76]",,,
Java SE 7 Update 99,2016-03-23,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 1 security fix[134]",,,
Java SE 7 Update 101,2016-04-18,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 22 security fixes[135]",,,
Java SE 7 Update 111,2016-07-19,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 36 security fixes[78]",,,
Java SE 7 Update 121,2016-10-18,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 32 security fixes[79]",,,
Java SE 7 Update 131,2017-01-17,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 34 security fixes[80]",,,
Java SE 7 Update 141,2017-04-18,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 8 security fixes[136]",,,
Java SE 7 Update 151,2017-07-18,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 4 security fixes[82]",,,
Java SE 7 Update 161,2017-10-20,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 4 security fixes[83]",,,
Java SE 7 Update 171,2018-01-16,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 51 security fixes[84]",,,
Java SE 7 Update 181,2018-04-17,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 12 security fixes[85]",,,
Java SE 7 Update 191,2018-07-17,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 9 security fixes[86]",,,
Java SE 7 Update 201,2018-10-18,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 13 security fixes[87]",,,
Java SE 7 Update 211,2019-01-15,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 5 security fixes[137]",,,
Java SE 7 Update 221,2019-04-16,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 5 security fixes[138]",,,
Java SE 7 Update 231,2019-07-16,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 6 security fixes[139]",,,
Java SE 7 Update 241,2019-10-15,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 15 security fixes[140]",,,
Java SE 7 Update 251,2020-01-14,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 12 security fixes[141]",,,
Java SE 7 Update 261,2020-04-14,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 15 security fixes[142]",,,
Java SE 7 Update 271,2020-07-14,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 11 security fixes[143]",,,
Java SE 7 Update 281,2020-10-20,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 8 security fixes[144]",,,
Java SE 7 Update 291,2021-01-19,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 1 security fixes[145]",,,
Java SE 7 Update 301,2021-04-12,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 11 security fixes[146]",,,
Java SE 7 Update 311,2021-07-20,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 24 bug fixes[147]",,,
Java SE 7 Update 321,2021-10-19,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 16 bug fixes[148]",,,
Java SE 7 Update 331,2022-01-18,"Not available publicly, only available through the Java SE Support program and in Solaris 10's Recommended Patchset Cluster; 18 bug fixes[149]",,,
"March 18, 2014(10 years ago)(2014-03-18)",,,,,
8,,,,,
Java SE 8,2014-03-18,Initial release,,,
Java SE 8 Update 5[166],2014-04-15,"Using ""*"" inCaller-Allowable-Codebaseattribute; 11 bug fixes",,,
Java SE 8 Update 11[167],2014-07-15,"Java Dependency Analysis Tool (jdeps); Java Control Panel option to disable sponsors; JAR file attribute – Entry-Point; JAXP processing limit property – maxElementDepth; 18 security bug fixes,[168]15 bug fixes",,,
Java SE 8 Update 20[169],2014-08-19,"669 bug fixes,[170]JMC 5.4, String deduplication (disabled by default)",,,
Java SE 8 Update 25[171],2014-10-14,10 bug fixes,,,
Java SE 8 Update 31[172],2015-01-19,26 bug fixes; SSLv3 (disabled by default),,,
Java SE 8 Update 40[173],2015-03-03,"645 bug fixes,[174]Added the notion of ""memory pressure"" to help indicate how much of system's memory is still available (low pressure = high memory, high pressure = low memory)",,,
Java SE 8 Update 45[175],2015-04-14,13 bug fixes,,,
Java SE 8 Update 51[176],2015-07-14,"Added support for native sandbox on Windows platforms (disabled by default); also, 25 security fixes, 14 bug fixes",,,
Java SE 8 Update 60[177],2015-08-18,480 bug fixes[178],,,
Java SE 8 Update 65[179],2015-10-20,"25 security fixes, 3 bug fixes",,,
Java SE 8 Update 66[180],2015-11-16,15 bug fixes,,,
Java SE 8 Update 71[181],2016-01-19,"8 security fixes, 5 bug fixes[182]",,,
Java SE 8 Update 72[183],2016-01-19,"8 security fixes, 5 bug fixes, several enhancements",,,
Java SE 8 Update 73[184],2016-02-03,1 security fix,,,
Java SE 8 Update 74[185],2016-02-03,1 security fix,,,
Java SE 8 Update 77[186],2016-03-23,1 security fix,,,
Java SE 8 Update 91[187],2016-04-19,"9 security fixes, 4 bug fixes and enhancements",,,
Java SE 8 Update 92[188],2016-04-19,"Security and bug fixes from 8u91, plus 76 additional bug fixes; theExitOnOutOfMemoryErrorandCrashOnOutOfMemoryErrorflags have been introduced",,,
Java SE 8 Update 101[189],2016-07-19,"Security and bug fixes from 8u92, plus 9 additional bug fixes",,,
Java SE 8 Update 102[190],2016-07-19,"Security and bug fixes from 8u101, plus 118 additional bug fixes",,,
Java SE 8 Update 111[191],2016-10-18,7 Security fixes and 9 bug fixes,,,
Java SE 8 Update 112[192],2016-10-18,Additional features and 139 bug fixes over 8u111,,,
Java SE 8 Update 121[193],2017-01-17,"3 additional features, 5 changes, and 11 bug fixes over 8u112.",,,
Java SE 8 Update 131[194],2017-04-18,4 changes and 42 bug fixes (2 notable).,,,
Java SE 8 Update 141[195],2017-07-18,"Additional feature, 3 changes and 12 bug fixes.",,,
Java SE 8 Update 144[196],2017-07-26,32 Security fixes and bug fixes from 8u141.,,,
Java SE 8 Update 151[197],2017-10-17,"22 Security fixes, 2 notes, 1 certificate revocation, 1 new feature, 6 changes and 24 bug fixes from 8u144.",,,
Java SE 8 Update 152[198],2017-10-17,"Security fixes, 1 new feature, 1 change and 238 bug fixes from 8u151 (1 notable).",,,
Java SE 8 Update 161[199],2018-01-16,"21 Security fixes, 3 new features, 9 changes and 1 bug fix from 8u152.",,,
Java SE 8 Update 162[200],2018-01-16,"Security fixes, 63 bug fixes.",,,
Java SE 8 Update 171[201],2018-04-17,"Security fixes, bug fixes.",,,
Java SE 8 Update 172[202],2018-04-17,"Security fixes, bug fixes.",,,
Java SE 8 Update 181[203],2018-07-17,"Security fixes, bug fixes.",,,
Java SE 8 Update 191[204],2018-10-16,"New features, changes, bug fixes, security fixes.",,,
Java SE 8 Update 192[205],2018-10-16,"New features, changes, bug fixes.",,,
Java SE 8 Update 201[206],2019-01-15,"New features, changes, bug fixes.",,,
Java SE 8 Update 202[207],2019-01-15,"New features, changes, bug fixes.",,,
Java SE 8 Update 211[208],2019-04-16,"New features, changes, bug fixes.License Update.",,,
Java SE 8 Update 212[209],2019-04-16,"New features (e.g. 5 currency symbols, including forBitcoinand ""New Japanese Era NameReiwa""[209]), changes, bug fixes.License Update.",,,
Java SE 8 Update 221[210],2019-07-16,"New features, changes, bug fixes.",,,
Java SE 8 Update 231[211],2019-10-15,"New features, changes, bug fixes and 18 security fixes.",,,
Java SE 8 Update 241[212],2020-01-14,"New features, changes, bug fixes.",,,
Java SE 8 Update 251[213],2020-04-14,"New features, changes, bug fixes. The last version that was shown to be working on Windows XP unofficially.",,,
Java SE 8 Update 261[214],2020-07-14,"New features, changes, 133 bug fixes.[215]",,,
Java SE 8 Update 271[216],2020-10-20,"New features, changes, 65 bug fixes.[217]",,,
Java SE 8 Update 281[218],2021-01-19,"New features, changes, 33 bug fixes.[219]",,,
Java SE 8 Update 291[220],2021-04-20,"New features, changes, 28 bug fixes.[221]",,,
Java SE 8 Update 301[222],2021-07-20,"New features, changes, 90 bug fixes.[223]",,,
Java SE 8 Update 311[224],2021-10-19,"New features, changes, 52 bug fixes.[225]",,,
Java SE 8 Update 321[226],2022-01-18,"New features, changes, 62 bug fixes.[227]",,,
Java SE 8 Update 331[228],2022-04-19,"New features, changes, 37 bug fixes.[229]",,,
Java SE 8 Update 333[230],2022-05-02,Patch w/1 change and 2 bug fixes.[231],,,
Java SE 8 Update 341[232],2022-07-19,"New features, changes, 42 bug fixes.[233]",,,
Java SE 8 Update 351[234],2022-10-18,"New features, changes, 95 bug fixes.[235]",,,
Java SE 8 Update 361[236],2023-01-17,"New features, changes, bug fixes.",,,
Java SE 8 Update 371[237],2023-04-18,,,,
Java SE 8 Update 381[238],2023-07-18,Security Patches,,,
Java SE 8 Update 391[239],2023-10-17,,,,
Java SE 8 Update 401[240],2024-01-16,,,,
Java SE 8 Update 411[241],2024-04-16,"Update time zone data to IANA TZ Data 2024a, new features, changes, updates to third-party libraries, 37 bug fixes.[241]",,,
Java SE 8 Update 421[242],2024-07-16,,,,
Java SE 8 Update 431[243],2024-10-15,,,,
9,,,,,
March 2018(2018-03),,,,,
Java SE 9[259],2017-09-21,Initial release,,,
Java SE 9.0.1[260],2017-10-17,"New featuresAdd Additional IDL Stub Type Checks to org.omg.CORBA.ORB::string_to_object Method (other-libs/corba)Known issuesTLS does not work by default on OpenJDK 9 (security-libs/java.security)ChangesRemove revoked Swisscom root certificate ""swisscomrootevca2"" (security-libs/java.security)Refactor existing providers to refer to the same constants for default values for key length (security-libs/java.security)Collections use serialization filter to limit array sizes (security-libs/java.security)Add warnings to keytool when using JKS and JCEKS (security-libs/java.security)Other notesDefault timeouts have changed for FTP URL handler (core-libs/java.net)Bug fixes12 bug fixes[261]",,,
